frameID,BVH,gBuffer,shadowMask,lighting,copy
250,0.0012672,7.49834,6.08938,1.81526,0.123514
251,0.0012608,7.38203,5.93732,1.80438,0.121286
252,0.0012736,7.4284,5.72928,1.53896,0.107962
253,0.0012672,7.35851,5.92835,1.76667,0.122221
254,0.0012672,7.17288,5.8602,1.76377,0.126157
255,0.0012928,7.5139,5.72638,1.56781,0.107078
256,0.0012288,6.95322,5.8794,1.80145,0.131584
257,0.0012608,7.18379,5.70006,1.62371,0.110003
258,0.0012928,7.20847,5.83169,1.74844,0.130042
259,0.0012864,7.09405,5.73747,1.71722,0.121421
260,0.00128,7.55423,5.78257,1.69113,0.120045
261,0.0012736,7.20815,5.82859,1.85873,0.132557
262,0.0012736,7.16756,5.61697,1.62836,0.11529
263,0.0012736,7.20941,5.76795,1.79474,0.123123
264,0.0012608,7.00067,5.65245,1.71361,0.120506
265,0.0012608,7.54013,5.74037,1.6052,0.111232
266,0.0012672,7.0367,5.79766,1.85928,0.132998
267,0.0012352,7.58321,5.68227,1.62797,0.111302
268,0.0012672,7.42193,5.85194,1.77532,0.123853
269,0.00128,7.22499,5.90695,1.86162,0.136685
270,0.00128,7.6829,5.7273,1.61492,0.114509
271,0.0012608,7.63808,5.91291,1.67634,0.114784
272,0.00128,7.06584,5.9383,1.86232,0.134598
273,0.00128,7.4068,5.84787,1.64187,0.117606
274,0.0012416,8.07042,5.87523,1.61711,0.109197
275,0.0013056,7.21477,5.98471,1.7661,0.123622
276,0.0012672,7.0547,5.95014,1.82932,0.126406
277,0.0013184,7.41878,5.815,1.56963,0.112058
278,0.0012672,6.93044,5.98741,1.82993,0.123789
279,0.00128,7.05341,5.86778,1.7018,0.116768
280,0.0012544,7.58963,5.87243,1.58656,0.111251
281,0.0012736,6.95739,6.00902,1.79654,0.126694
282,0.0019648,7.20479,5.79792,1.58589,0.11033
283,0.0013312,6.87594,6.04134,1.75407,0.119174
284,0.0012736,6.79466,5.83518,1.63363,0.10921
285,0.0012736,7.07554,6.04166,1.71753,0.117843
286,0.0012672,6.84188,5.93043,1.74959,0.117274
287,0.0012608,7.39636,5.8986,1.59375,0.108358
288,0.0012864,6.9194,6.09041,1.79511,0.119469
289,0.00128,6.9606,5.91757,1.62726,0.10736
290,0.0012672,6.94535,5.98486,1.70273,0.117082
291,0.0012608,6.84413,5.87752,1.68435,0.109946
292,0.0012608,7.40988,5.86421,1.58111,0.10368
293,0.0012672,6.5353,5.7837,1.72054,0.116563
294,0.0012544,6.98952,5.86314,1.68122,0.102381
